,0,1,2
158,-87.0,-22.0,1271358820000.0
159,-87.0,-21.0,1178971930000.0
160,-87.0,-20.0,1085858190000.0
161,-87.0,-19.0,997961826000.0
162,-87.0,-18.0,920337056000.0
163,-87.0,-17.0,856764842000.0
164,-87.0,-16.0,809708880000.0
165,-87.0,-15.0,780525765000.0
166,-87.0,-14.0,769784807000.0
167,-87.0,-13.0,777530114000.0
168,-87.0,-12.0,798293492000.0
169,-87.0,-11.0,841404973000.0
170,-87.0,-10.0,900152820000.0
171,-87.0,-9.0,971973722000.0
172,-87.0,-8.0,1053211100000.0
173,-87.0,-7.0,1139214250000.0
174,-87.0,-6.0,1224717760000.0
175,-87.0,-5.0,1304411640000.0
176,-87.0,-4.0,1373566010000.0
177,-87.0,-3.0,1428538790000.0
178,-87.0,-2.0,1467064650000.0
179,-87.0,-1.0,1488290050000.0
180,-87.0,0.0,1492606910000.0
181,-87.0,1.0,1481348220000.0
182,-87.0,2.0,1456339420000.0
183,-87.0,3.0,1420822320000.0
184,-87.0,4.0,1379034990000.0
185,-87.0,5.0,1333488390000.0
186,-87.0,6.0,1286199440000.0
187,-87.0,7.0,1238732770000.0
188,-87.0,8.0,1192257650000.0
189,-87.0,9.0,1147614530000.0
190,-87.0,10.0,1105376840000.0
191,-87.0,11.0,1065904500000.0
192,-87.0,12.0,1029394790000.0
193,-87.0,13.0,993472807000.0
194,-87.0,14.0,962916123000.0
195,-87.0,15.0,935294337000.0
196,-87.0,16.0,910472839000.0
197,-87.0,17.0,888288772000.0
198,-87.0,18.0,868559421000.0
199,-87.0,19.0,851093684000.0
200,-86.0,-30.0,1495948330000.0
201,-86.0,-29.0,1525095600000.0
202,-86.0,-28.0,1540823190000.0
203,-86.0,-27.0,1540264170000.0
204,-86.0,-26.0,1521234080000.0
205,-86.0,-25.0,1482735480000.0
206,-86.0,-24.0,1425403540000.0
207,-86.0,-23.0,1351746850000.0
208,-86.0,-22.0,1266046210000.0
209,-86.0,-21.0,1173905870000.0
210,-86.0,-20.0,1081502920000.0
211,-86.0,-19.0,994752725000.0
212,-86.0,-18.0,918642688000.0
213,-86.0,-17.0,856864653000.0
214,-86.0,-16.0,811770905000.0
215,-86.0,-15.0,784659644000.0
216,-86.0,-14.0,776035434000.0
217,-86.0,-13.0,785881694000.0
218,-86.0,-12.0,808552038000.0
219,-86.0,-11.0,853500625000.0
220,-86.0,-10.0,913769628000.0
221,-86.0,-9.0,986635895000.0
222,-86.0,-8.0,1068297620000.0
223,-86.0,-7.0,1154001400000.0
224,-86.0,-6.0,1238455030000.0
225,-86.0,-5.0,1316400790000.0
226,-86.0,-4.0,1383233490000.0
227,-86.0,-3.0,1435476950000.0
228,-86.0,-2.0,1471055270000.0
229,-86.0,-1.0,1489288300000.0
230,-86.0,0.0,1490712920000.0
231,-86.0,1.0,1476768960000.0
232,-86.0,2.0,1449329690000.0
233,-86.0,3.0,1412212060000.0
234,-86.0,4.0,1369223860000.0
235,-86.0,5.0,1322811920000.0
236,-86.0,6.0,1274934070000.0
237,-86.0,7.0,1227101310000.0
238,-86.0,8.0,1180437450000.0
239,-86.0,9.0,1135743070000.0
240,-86.0,10.0,1093558270000.0
241,-86.0,11.0,1054216290000.0
242,-86.0,12.0,1017890540000.0
243,-86.0,13.0,982143140000.0
244,-86.0,14.0,951827825000.0
245,-86.0,15.0,924455797000.0
246,-86.0,16.0,899884646000.0
247,-86.0,17.0,877943259000.0
248,-86.0,18.0,858445185000.0
249,-86.0,19.0,841196241000.0
250,-85.0,-30.0,1495100420000.0
251,-85.0,-29.0,1523768890000.0
252,-85.0,-28.0,1538983720000.0
253,-85.0,-27.0,1537872890000.0
254,-85.0,-26.0,1518264910000.0
255,-85.0,-25.0,1479206500000.0
256,-85.0,-24.0,1421405980000.0
257,-85.0,-23.0,1347471280000.0
258,-85.0,-22.0,1261782960000.0
259,-85.0,-21.0,1170019320000.0
260,-85.0,-20.0,1078385380000.0
261,-85.0,-19.0,992776880000.0
262,-85.0,-18.0,918115254000.0
263,-85.0,-17.0,858002358000.0
264,-85.0,-16.0,814726971000.0
265,-85.0,-15.0,789505573000.0
266,-85.0,-14.0,782794752000.0
267,-85.0,-13.0,794523992000.0
268,-85.0,-12.0,818867143000.0
269,-85.0,-11.0,865405108000.0
270,-85.0,-10.0,926940201000.0
271,-85.0,-9.0,1000605940000.0
272,-85.0,-8.0,1082472790000.0
273,-85.0,-7.0,1167708260000.0
274,-85.0,-6.0,1251008320000.0
275,-85.0,-5.0,1327178450000.0
276,-85.0,-4.0,1391738750000.0
277,-85.0,-3.0,1441377160000.0
278,-85.0,-2.0,1474184090000.0
279,-85.0,-1.0,1489636950000.0
280,-85.0,0.0,1488403170000.0
281,-85.0,1.0,1472012620000.0
282,-85.0,2.0,1442452470000.0
283,-85.0,3.0,1403927000000.0
284,-85.0,4.0,1359886680000.0
285,-85.0,5.0,1312718720000.0
286,-85.0,6.0,1264326410000.0
